,Estimate,Fitting_succeeded,lower_ci,nObs,p_value,parameter,roi_name,upper_ci,exp_Estimate,log10_Estimate
0,-8.15012085773817,True,-8.189430357517297,250,0.0,const,dnaA (Rv0001),-8.110811357959042,0.00028870046583434383,-18.769728335371003
1,-0.14690075419249138,True,-0.2036183840131866,250,3.846954943982291e-07,"(0.01, 0.05]",dnaA (Rv0001),-0.09018312437179615,0.8633796599759725,-0.33831243690530766
2,-0.11207564994667601,True,-0.18700613794599139,250,0.0033724948643518923,"(0.05, 0.2]",dnaA (Rv0001),-0.037145161947360644,0.8939766256581563,-0.25811022182719484
3,-0.09013519246867974,True,-0.1556866758194117,250,0.0070387073407021635,"(0.2, 1.0]",dnaA (Rv0001),-0.024583709117947786,0.9138076370096734,-0.20758134825536942
4,-8.185717991929852,True,-8.26634013729117,250,0.0,const,near_dnaN (Rv0002),-8.105095846568535,0.0002786043196397636,-18.85170853541445
5,-0.04801067933863506,True,-0.16271713626110343,250,0.4120178005846734,"(0.01, 0.05]",near_dnaN (Rv0002),0.06669577758383333,0.9531236082933795,-0.11056859451687653
6,-0.12072767494638624,True,-0.2723419158702868,250,0.11859836738786703,"(0.05, 0.2]",near_dnaN (Rv0002),0.030886565977514283,0.8862752816959613,-0.2780358354015275
7,0.015500634737306979,True,-0.11587789918626001,250,0.8171241367549912,"(0.2, 1.0]",near_dnaN (Rv0002),0.14687916866087397,1.015621392710894,0.03569796180001797
8,-8.046148542727327,True,-8.09663692297035,250,0.0,const,dnaN (Rv0002),-7.995660162484305,0.00032033329967743804,-18.530280093901034
9,-0.1503072641977827,True,-0.22276776230952655,250,4.790501057295657e-05,"(0.01, 0.05]",dnaN (Rv0002),-0.07784676608603887,0.8604435523052693,-0.34615762944749356
10,-0.1290605342112105,True,-0.22683085425986216,250,0.00967518668376167,"(0.05, 0.2]",dnaN (Rv0002),-0.031290214162558824,0.8789207591603239,-0.2972264102884178
11,-0.2029878707771225,True,-0.29061122962752683,250,5.613600302190802e-06,"(0.2, 1.0]",dnaN (Rv0002),-0.11536451192671814,0.8162881423063751,-0.4674810663997131
12,-8.108915560441487,True,-8.440209711850269,250,0.0,const,near_recF (Rv0003),-7.7776214090327045,0.00030084494451588264,-18.674832535696744
13,-0.14894150433911468,True,-0.6245080982778783,250,0.5393235823989947,"(0.01, 0.05]",near_recF (Rv0003),0.326625089599649,0.8616195144277952,-0.3430122844929811
14,-0.9704805455827992,True,-1.836503144876275,250,0.028065400052350878,"(0.05, 0.2]",near_recF (Rv0003),-0.10445794628932337,0.37890091518661045,-2.2350166964771865
15,-0.087179931458714,True,-0.6281810063668687,250,0.7521243112611855,"(0.2, 1.0]",near_recF (Rv0003),0.45382114344944063,0.916512171424137,-0.20077538214941834
16,-8.24509320214971,True,-8.288831936899166,250,0.0,const,incl_recF (Rv0003),-8.201354467400252,0.00026254365049687377,-18.98844964455078
17,-0.08653033442351267,True,-0.14838624574867976,250,0.006110413129245386,"(0.01, 0.05]",incl_recF (Rv0003),-0.02467442309834559,0.9171077284285096,-0.19927936017734968
18,-0.19217912447195917,True,-0.2774478647353597,250,9.99059400683541e-06,"(0.05, 0.2]",incl_recF (Rv0003),-0.10691038420855865,0.8251590490740923,-0.442588523658922
19,-0.05745563217858177,True,-0.1291011183814207,250,0.11600149242359448,"(0.2, 1.0]",incl_recF (Rv0003),0.01418985402425714,0.9441637799471193,-0.1323203209072738
20,-8.162970077447401,True,-8.230474819814562,250,0.0,const,Rv0004,-8.09546533508024,0.0002850146209457693,-18.799320088361362
21,-0.03685857257270989,True,-0.13142133220919264,250,0.4448954353055007,"(0.01, 0.05]",Rv0004,0.057704187063772845,0.9638124352236599,-0.08488529263495088
22,-0.0800785379643292,True,-0.20560327389716557,250,0.21116823967908505,"(0.05, 0.2]",Rv0004,0.04544619796850716,0.9230438495548656,-0.18442087293185017
23,0.06376986804807505,True,-0.04372004831802552,250,0.2449205869922364,"(0.2, 1.0]",Rv0004,0.1712597844141756,1.0658470850651884,0.14686200611471684
24,-8.243645725767063,True,-8.332369087918764,250,0.0,const,near_gyrB (Rv0005),-8.154922363615363,0.0002629239514022709,-18.985116106441545
25,0.037718618783277015,True,-0.08340469128113792,250,0.5416325953434074,"(0.01, 0.05]",near_gyrB (Rv0005),0.15884192884769197,1.0384389945374604,0.08686597905788697
26,-0.01929117279325393,True,-0.17972507825417902,250,0.8136861126545313,"(0.05, 0.2]",near_gyrB (Rv0005),0.14114273266767116,0.980893711096158,-0.0444275709428638
27,-0.03168638662895473,True,-0.17474849000252868,250,0.6642111684606842,"(0.2, 1.0]",near_gyrB (Rv0005),0.11137571674461921,0.968810366326194,-0.07297374840648274
28,-8.198449663494557,True,-8.231934979374266,250,0.0,const,gyrB (Rv0005),-8.164964347614848,0.00027507970566953134,-18.881029575027966
29,-0.05435221619530936,True,-0.10165939788109374,250,0.024332141408939096,"(0.01, 0.05]",gyrB (Rv0005),-0.00704503450952499,0.9470984643304696,-0.12517315389779746
30,-0.06808703072333439,True,-0.13082076303309198,250,0.03340223441806561,"(0.05, 0.2]",gyrB (Rv0005),-0.00535329841357679,0.9341791677505191,-0.15680443175583908
31,-0.05928104919863858,True,-0.11488001632970155,250,0.03663900236513549,"(0.2, 1.0]",gyrB (Rv0005),-0.003682082067575608,0.9424418594031577,-0.13652425630446466
32,-8.496480149818694,True,-8.814428284662458,250,0.0,const,near_gyrA (Rv0006),-8.17853201497493,0.0002041858090862688,-19.567393785032454
33,-0.06538146694627929,True,-0.5180558808148822,250,0.7771117068245033,"(0.01, 0.05]",near_gyrA (Rv0006),0.38729294692232363,0.9367100712846602,-0.1505735183772812
34,0.14599766768233569,True,-0.4148100666869725,250,0.6098787951815465,"(0.05, 0.2]",near_gyrA (Rv0006),0.7068054020516439,1.1571934891048332,0.3362326286724191
35,-0.04294967907604347,True,-0.5758827076479045,250,0.8744916851518255,"(0.2, 1.0]",near_gyrA (Rv0006),0.4899833494958176,0.957959594266077,-0.09891311091212811
36,-8.19730756208898,True,-8.228293440478133,250,0.0,const,gyrA (Rv0006),-8.166321683699827,0.0002753940540627235,-18.87839931549092
37,-0.07731217147188611,True,-0.1213359463212556,250,0.0005774671682862979,"(0.01, 0.05]",gyrA (Rv0006),-0.033288396622516626,0.9256008623178554,-0.1780499308997537
38,-0.12454455434057829,True,-0.18348662637776766,250,3.451886924840192e-05,"(0.05, 0.2]",gyrA (Rv0006),-0.06560248230338891,0.8828989235107243,-0.2868261086463518
39,-0.0779882963842452,True,-0.12968711482454515,250,0.0031102158652551114,"(0.2, 1.0]",gyrA (Rv0006),-0.026289477943945268,0.924975252035123,-0.1796070465729167
40,-8.144635010073568,True,-8.311478224069468,250,0.0,const,near_Rv0007,-7.977791796077668,0.0002902885847169373,-18.757094428199427
41,-0.011652076431669609,True,-0.2451332435649876,250,0.9220802512663558,"(0.01, 0.05]",near_Rv0007,0.2218290907016484,0.9884155461084123,-0.02683473202213511
42,0.007315877426500855,True,-0.2940334096301085,250,0.962049233575993,"(0.05, 0.2]",near_Rv0007,0.3086651644831102,1.0073427038374358,0.016848465713231467
43,-0.15544220230889672,True,-0.441696829987501,250,0.2871923149665442,"(0.2, 1.0]",near_Rv0007,0.13081242536970755,0.8560365524353611,-0.35798339191738915
44,-8.133605702710886,True,-8.189354926964315,250,0.0,const,Rv0007,-8.077856478457457,0.00029350798800036715,-18.73169393334317
45,-0.028028784284525727,True,-0.10626486704645745,250,0.48257014346453864,"(0.01, 0.05]",Rv0007,0.050207298477406,0.9723603777006524,-0.06455029020726274
46,0.005439578446386277,True,-0.09566327409822668,250,0.916018099028145,"(0.05, 0.2]",Rv0007,0.10654243099099923,1.0054543998150363,0.012527349162027596
47,-0.007792731918638329,True,-0.09795641808580006,250,0.8654842438716482,"(0.2, 1.0]",Rv0007,0.0823709542485234,0.9922375526990448,-0.01794666160862407
48,-8.330725177598369,True,-8.532880027118614,250,0.0,const,near_ileT (Rvnt01),-8.128570328078125,0.0002409972157130189,-19.185660084009044
49,0.08029914016717653,True,-0.1955800446149087,250,0.5683525141628213,"(0.01, 0.05]",near_ileT (Rvnt01),0.35617832494926177,1.083611170823201,0.18492891980500753
50,-0.15686852503434948,True,-0.5449697353636931,250,0.42823974153955746,"(0.05, 0.2]",near_ileT (Rvnt01),0.23123268529499416,0.854816438391848,-0.36126821315410684
51,0.008743036396545167,True,-0.3167965997714963,250,0.9580196513316508,"(0.2, 1.0]",near_ileT (Rvnt01),0.33428267256458666,1.0087813683704354,0.02013521282124352
52,-8.257717364007725,True,-8.443748912162988,250,0.0,const,ileT (Rvnt01),-8.071685815852462,0.00025925008992007766,-19.01752308930979
53,-0.06531311256583187,True,-0.3272347564914476,250,0.6250264187978103,"(0.01, 0.05]",ileT (Rvnt01),0.19660853135978384,0.9367741017095967,-0.1504160982391108
54,-0.07460668043458629,True,-0.4182892521052846,250,0.6704945470335912,"(0.05, 0.2]",ileT (Rvnt01),0.26907589123611203,0.9281084577639092,-0.17181918504085222
55,0.03504602143066865,True,-0.2603020107616334,250,0.8160957248743803,"(0.2, 1.0]",ileT (Rvnt01),0.3303940536229707,1.0356673705969746,0.0807109873548299
56,-8.162153079485504,True,-8.282100927400112,250,0.0,const,near_alaT (Rvnt02),-8.042205231570897,0.00028524757245769033,-18.797438542055115
57,-0.07245037985332935,True,-0.24176665869628883,250,0.40165567255345325,"(0.01, 0.05]",near_alaT (Rvnt02),0.09686589898963015,0.9301118978040449,-0.16685322480221748
58,-0.16548642850373363,True,-0.390492347921519,250,0.14944171206769066,"(0.05, 0.2]",near_alaT (Rvnt02),0.05951949091405176,0.8474813647170532,-0.38111524484409853
59,-0.13915950502747654,True,-0.3408990599113235,250,0.17638207090359292,"(0.2, 1.0]",near_alaT (Rvnt02),0.06258004985637045,0.8700892337821801,-0.3204843400782785
60,-8.045776348485418,True,-8.19744291509797,250,0.0,const,alaT (Rvnt02),-7.894109781872868,0.0003204525480774768,-18.529422930561918
61,-0.15826470019118,True,-0.378747064329097,250,0.1594617860489702,"(0.01, 0.05]",alaT (Rvnt02),0.06221766394673697,0.8536237976783175,-0.3644836045402875
62,-0.1359174662611976,True,-0.4257075353183298,250,0.35795793469050763,"(0.05, 0.2]",alaT (Rvnt02),0.15387260279593457,0.8729146744274692,-0.3130179247995381
63,-0.44041278785912624,True,-0.7238522940903713,250,0.002323532355815703,"(0.2, 1.0]",alaT (Rvnt02),-0.1569732816278811,0.6437706255300459,-1.0142706504395678
64,-8.22236862491939,True,-8.279352988719507,250,0.0,const,near_Rv0008c,-8.165384261119273,0.0002685781499982858,-18.936114943189356
65,-0.11828796496630915,True,-0.20007662455224584,250,0.004587955456564929,"(0.01, 0.05]",near_Rv0008c,-0.03649930538037248,0.8884401761292671,-0.27241718331741
66,-0.10115420983462588,True,-0.2084314961273499,250,0.06458861211059781,"(0.05, 0.2]",near_Rv0008c,0.006123076458098148,0.9037936482698654,-0.23295814524914338
67,-0.07043431244570492,True,-0.16497672248885914,250,0.14424125167008867,"(0.2, 1.0]",near_Rv0008c,0.024108097597449293,0.9319889575903999,-0.16221022156245843
68,-8.20858079902737,True,-8.29403925769739,250,0.0,const,Rv0008c,-8.12312234035735,0.0002723069054132906,-18.90436158016003
69,-0.06562540137835225,True,-0.18591690179896309,250,0.28495053165734663,"(0.01, 0.05]",Rv0008c,0.054666099042258595,0.9364816033121398,-0.15113529937434522
70,-0.06585405011841594,True,-0.22174103164987102,250,0.4076808692391537,"(0.05, 0.2]",Rv0008c,0.09003293141303914,0.9362675024513285,-0.15166187742271192
71,-0.10405102998008409,True,-0.2464625690302857,250,0.15213789834767982,"(0.2, 1.0]",Rv0008c,0.03836050907011754,0.901179309085628,-0.23962952204413365
72,-8.049179675442428,True,-8.172401555407898,250,0.0,const,near_ppiA (Rv0009),-7.9259577954769584,0.000319363797020956,-18.53726079254391
73,-0.18391573689865254,True,-0.3624812054938431,250,0.04351951133449157,"(0.01, 0.05]",near_ppiA (Rv0009),-0.005350268303461941,0.8320059082711916,-0.4235579420775968
74,-0.3180936173466618,True,-0.5719303832997649,250,0.014044859663624154,"(0.05, 0.2]",near_ppiA (Rv0009),-0.06425685139355874,0.7275346753604518,-0.7325696007493622
75,-0.16895207156300657,True,-0.3804545891310775,250,0.11742940514213882,"(0.2, 1.0]",near_ppiA (Rv0009),0.04255044600506436,0.8445493803477917,-0.3890966208096041
76,-8.139657217574083,True,-8.205355343056155,250,0.0,const,ppiA (Rv0009),-8.07395909209201,0.0002917371834774856,-18.74563057207311
77,-0.04310414869443693,True,-0.13540339894470013,250,0.36002804495282337,"(0.01, 0.05]",ppiA (Rv0009),0.049195101555826265,0.9578116300413974,-0.09926885444328826
78,-0.22845649970899923,True,-0.35771608890126716,250,0.000532033662570883,"(0.05, 0.2]",ppiA (Rv0009),-0.09919691051673127,0.7957609122828475,-0.5261353188298252
79,-0.04020663997999552,True,-0.14799994691679152,250,0.4647414211088665,"(0.2, 1.0]",ppiA (Rv0009),0.06758666695680048,0.9605909221533177,-0.09259589187392968
80,-7.929063276121084,True,-8.072008341088077,250,0.0,const,near_Rv0010c,-7.786118211154092,0.0003601235913516688,-18.260632724906856
81,-0.11555595260375881,True,-0.3193701037196899,250,0.26646702569224356,"(0.01, 0.05]",near_Rv0010c,0.08825819851217229,0.890870724305893,-0.26612535884645655
82,-0.12505688056661918,True,-0.3927371796892539,250,0.35983968605411953,"(0.05, 0.2]",near_Rv0010c,0.14262341855601557,0.8824467070883244,-0.28800599594492393
83,-0.30922489783048307,True,-0.5654024237215323,250,0.017990236389929613,"(0.2, 1.0]",near_Rv0010c,-0.053047371939433874,0.7340156729295874,-0.7121449397036025
84,-8.278108974394314,True,-8.354113117738965,250,0.0,const,Rv0010c,-8.202104831049663,0.00025401709897957724,-19.064484968030104
85,-0.025327338648262306,True,-0.13088204368902173,250,0.6381522444110532,"(0.01, 0.05]",Rv0010c,0.08022736639249711,0.9749907076469081,-0.05832886090694809
86,0.09803311791260463,True,-0.03545403677165007,250,0.15003728811884076,"(0.05, 0.2]",Rv0010c,0.23152027259685934,1.1029993135385006,0.22577027055272847
87,0.005718356747690223,True,-0.11707408146531714,250,0.9272747714458589,"(0.2, 1.0]",Rv0010c,0.1285107949606976,1.0057347377589076,0.013169375589930584
88,-8.404006085127554,True,-8.51870430173291,250,0.0,const,near_Rv0011c,-8.289307868522197,0.00022396828854478776,-19.354426014048755
89,-0.020506625402424202,True,-0.18072078231049885,250,0.8019178927760304,"(0.01, 0.05]",near_Rv0011c,0.13970753150565043,0.9797022055316478,-0.04722675830178294
90,-0.08918312017703356,True,-0.30845015784381946,250,0.425345423224917,"(0.05, 0.2]",near_Rv0011c,0.13008391748975232,0.9146780622288824,-0.20538872576770828
91,-0.0348241173656062,True,-0.22252875352474347,250,0.7161383838934565,"(0.2, 1.0]",near_Rv0011c,0.15288051879353107,0.965775264418196,-0.08019994229299107
92,-8.241344906998961,True,-8.328475887870006,250,0.0,const,Rv0011c,-8.154213926127916,0.00026352958822735276,-18.979817320818608
93,-0.06094730889325886,True,-0.1853002193836813,250,0.336748779913997,"(0.01, 0.05]",Rv0011c,0.06340560159716359,0.9408728140998128,-0.14036165238117515
94,-0.001461258629075416,True,-0.16344784221311154,250,0.9858936852815144,"(0.05, 0.2]",Rv0011c,0.1605253249549607,0.9985398084894731,-0.0033652786227606826
95,-0.004338390398902825,True,-0.14570177514941915,250,0.9520357095106609,"(0.2, 1.0]",Rv0011c,0.1370249943516135,0.9956710068222075,-0.009991313088673206
96,-8.048958209956467,True,-8.214016953333953,250,0.0,const,near_Rv0012,-7.883899466578982,0.0003194345329119516,-18.53675075752974
97,-0.21313195693133896,True,-0.45655863070228697,250,0.08615393194838614,"(0.01, 0.05]",near_Rv0012,0.030294716839609048,0.8080495024483316,-0.49084289681287363
98,-0.5386276570773456,True,-0.913098577270518,250,0.004815056449144135,"(0.05, 0.2]",near_Rv0012,-0.16415673688417315,0.5835485318171404,-1.240459494249127
99,-0.12296725459251534,True,-0.39954248996502173,250,0.3835284243144813,"(0.2, 1.0]",near_Rv0012,0.15360798077999105,0.8842926186088615,-0.2831935873265628
100,-8.20689572404249,True,-8.263783993266808,250,0.0,const,Rv0012,-8.150007454818171,0.0002727661497897503,-18.90048085246985
101,-0.11034919289503052,True,-0.19126814686521776,250,0.00752203516211713,"(0.01, 0.05]",Rv0012,-0.02943023892484327,0.8955213709920714,-0.2541341912372553
102,-0.14998333939203976,True,-0.25788186684226505,250,0.006441265831841924,"(0.05, 0.2]",Rv0012,-0.04208481194181447,0.8607223164626778,-0.34541163061986757
103,-0.10913825754598194,True,-0.20362276405468277,250,0.023577935227830363,"(0.2, 1.0]",Rv0012,-0.014653751037281101,0.8966064463214776,-0.2513454071283964
104,-8.501800326808748,True,-8.7637115145993,250,0.0,const,near_trpG (Rv0013),-8.239889139018196,0.00020310238899185214,-19.579646152640546
105,-0.2999359246014701,True,-0.6947818768912488,250,0.1365287310347702,"(0.01, 0.05]",near_trpG (Rv0013),0.09491002768830864,0.7408656904252514,-0.6907524343571857
